ticker,Close,daily_return,cumulative_return,Volume,volume_ratio,rsi_14,sma_20,sma_50,golden_cross,death_cross,updated_at
ABEV3.SA,14.5,-1.6282,44.4694,24151800,0.952,34.15,15.3625,15.4804,False,False,2026-04-27T03:53:11.867914
BBDC4.SA,19.920000076293945,-0.2504,76.2702,21380800,0.614,64.49,19.8223,19.8157,True,False,2026-04-27T03:53:11.867914
ITUB4.SA,44.369998931884766,0.4301,86.2791,18234600,0.744,57.3,44.6205,44.7514,False,False,2026-04-27T03:53:11.867914
LREN3.SA,14.279999732971191,-0.4184,11.949,10703200,0.65,43.03,15.078,15.0882,False,True,2026-04-27T03:53:11.867914
MGLU3.SA,8.67466926574707,0.9249,-33.9706,9917800,0.64,49.47,8.8381,9.2685,False,False,2026-04-27T03:53:11.867914
PETR4.SA,47.15999984741211,-1.277,58.2632,34880200,0.63,48.96,47.4696,43.7946,False,False,2026-04-27T03:53:11.867914
RENT3.SA,49.290000915527344,-0.2025,9.3752,5636400,0.64,56.31,48.7641,48.192,False,False,2026-04-27T03:53:11.867914
SUZB3.SA,45.63999938964844,-2.2489,-20.4928,7909400,0.909,26.43,48.5925,52.5834,False,False,2026-04-27T03:53:11.867914
VALE3.SA,85.87000274658203,-0.1163,59.9055,11436400,0.624,57.84,84.9085,83.6974,False,False,2026-04-27T03:53:11.867914
WEGE3.SA,47.79999923706055,-0.9942,33.2266,5113600,0.635,38.45,49.9215,49.2411,False,False,2026-04-27T03:53:11.867914
