2026-04-27 00:52:32,246 | INFO     | pipeline | ============================================================
2026-04-27 00:52:32,247 | INFO     | pipeline | PIPELINE INICIADO — 2026-04-27 00:52:32
2026-04-27 00:52:32,247 | INFO     | pipeline | ============================================================
2026-04-27 00:52:32,247 | INFO     | pipeline | [1/4] COLETA
2026-04-27 00:52:32,248 | INFO     | collector.fetch | Iniciando coleta: 10 tickers | período: 2y
2026-04-27 00:52:32,252 | INFO     | yfinance | Failed to create TzCache, reason: Error creating TzCache folder: 'C:\Users\Marcelo\AppData\Local\py-yfinance' reason: [WinError 183] Não é possível criar um arquivo já existente: 'C:\\Users\\Marcelo\\AppData\\Local\\py-yfinance'. TzCache will not be used. Tip: You can direct cache to use a different location with 'set_tz_cache_location(mylocation)'
2026-04-27 00:52:32,252 | INFO     | yfinance | Failed to create TzCache, reason: Error creating TzCache folder: 'C:\Users\Marcelo\AppData\Local\py-yfinance' reason: [WinError 183] Não é possível criar um arquivo já existente: 'C:\\Users\\Marcelo\\AppData\\Local\\py-yfinance'. TzCache will not be used. Tip: You can direct cache to use a different location with 'set_tz_cache_location(mylocation)'
2026-04-27 00:52:32,252 | INFO     | yfinance | Failed to create TzCache, reason: Error creating TzCache folder: 'C:\Users\Marcelo\AppData\Local\py-yfinance' reason: [WinError 183] Não é possível criar um arquivo já existente: 'C:\\Users\\Marcelo\\AppData\\Local\\py-yfinance'. TzCache will not be used. Tip: You can direct cache to use a different location with 'set_tz_cache_location(mylocation)'
2026-04-27 00:52:37,166 | INFO     | collector.fetch |   PETR4.SA: 500 linhas coletadas
2026-04-27 00:52:37,167 | INFO     | collector.fetch |   VALE3.SA: 500 linhas coletadas
2026-04-27 00:52:37,168 | INFO     | collector.fetch |   ITUB4.SA: 500 linhas coletadas
2026-04-27 00:52:37,169 | INFO     | collector.fetch |   BBDC4.SA: 500 linhas coletadas
2026-04-27 00:52:37,170 | INFO     | collector.fetch |   ABEV3.SA: 500 linhas coletadas
2026-04-27 00:52:37,174 | INFO     | collector.fetch |   MGLU3.SA: 500 linhas coletadas
2026-04-27 00:52:37,175 | INFO     | collector.fetch |   WEGE3.SA: 500 linhas coletadas
2026-04-27 00:52:37,176 | INFO     | collector.fetch |   RENT3.SA: 500 linhas coletadas
2026-04-27 00:52:37,178 | INFO     | collector.fetch |   LREN3.SA: 500 linhas coletadas
2026-04-27 00:52:37,179 | INFO     | collector.fetch |   SUZB3.SA: 500 linhas coletadas
2026-04-27 00:52:37,181 | INFO     | collector.fetch | Coleta concluída: 5000 linhas no total
2026-04-27 00:52:37,181 | INFO     | pipeline | [2/4] LIMPEZA
2026-04-27 00:52:37,182 | INFO     | processor.cleaner | Iniciando limpeza: 5000 linhas recebidas
2026-04-27 00:52:37,203 | INFO     | processor.cleaner | Limpeza concluída: 5000 linhas após tratamento
2026-04-27 00:52:37,203 | INFO     | pipeline | [3/4] INDICADORES
2026-04-27 00:52:37,203 | INFO     | processor.indicators | Calculando indicadores técnicos...
2026-04-27 00:52:37,209 | INFO     | processor.indicators |   SMA 20 e SMA 50 calculados
